id,名称,カテゴリ,都道府県コード,都道府県名,市区町村コード,市区町村名,緯度,経度,情報,情報の出典,データソース
NEW05061,伊木力ダム,ダム,42,長崎県,,Unknown,32.8391667,129.9271111,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05062,小ヶ倉ダム,ダム,42,長崎県,,Unknown,32.8205556,130.0541667,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05063,萱瀬ダム,ダム,42,長崎県,,Unknown,32.9785278,130.0206389,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05064,笛吹ダム,ダム,42,長崎県,,Unknown,33.3055417,129.7349944,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05065,仁田ダム,ダム,42,長崎県,,Unknown,34.5284972,129.3953944,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05066,ケ知ダム,ダム,42,長崎県,,Unknown,34.2573306,129.2922389,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05067,目保呂ダム,ダム,42,長崎県,,Unknown,34.5461194,129.372875,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05068,小浦ダム,ダム,42,長崎県,,Unknown,34.2311694,129.2996417,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05069,勝本ダム,ダム,42,長崎県,,Unknown,33.8262722,129.7072944,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05070,永田ダム,ダム,42,長崎県,,Unknown,33.7511139,129.704375,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05071,男女岳ダム,ダム,42,長崎県,,Unknown,33.8354,129.7496083,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05072,福江ダム,ダム,42,長崎県,,Unknown,32.6819278,128.8185278,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05073,雪浦ダム,ダム,42,長崎県,,Unknown,32.9547222,129.6972222,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05074,蔵王ダム,ダム,25,滋賀県,,Unknown,34.9844444,136.3030556,滋賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05075,福井ダム,ダム,36,徳島県,,Unknown,33.8141667,134.5902778,徳島県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05076,宮川内ダム,ダム,36,徳島県,,Unknown,34.1475,134.3536111,徳島県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05077,三縄ダム,ダム,36,徳島県,,Unknown,33.956275,133.791225,徳島県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05078,長与ダム,ダム,42,長崎県,,Unknown,32.838075,129.9000056,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05079,中山ダム,ダム,42,長崎県,,Unknown,32.8528056,129.8110639,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05080,野々川ダム,ダム,42,長崎県,,Unknown,33.1473333,129.9174833,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05081,殿山ダム,ダム,30,和歌山県,,Unknown,33.6838889,135.5636111,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05082,山田ダム,ダム,30,和歌山県,,Unknown,34.1934444,135.334,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05083,君ヶ野ダム,ダム,24,三重県,,Unknown,34.5966667,136.3130556,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05084,安濃ダム（利水）,ダム,24,三重県,,Unknown,34.8069444,136.3822222,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05085,蓮ダム,ダム,24,三重県,,Unknown,34.3766667,136.2108333,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05086,加佐登調整池,ダム,24,三重県,,Unknown,34.8980556,136.5252778,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05087,クチスボダム（発電）,ダム,24,三重県,,Unknown,34.0916667,136.1622222,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05088,滝川ダム,ダム,24,三重県,,Unknown,34.7169444,136.2152778,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05089,川上ダム(機構),ダム,24,三重県,,Unknown,34.6566667,136.1858333,三重県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05090,青方ダム,ダム,42,長崎県,,Unknown,32.9900556,129.0718028,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05091,宮ノ川ダム,ダム,42,長崎県,,Unknown,32.9955278,129.0802778,長崎県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05092,川口ダム（利水）,ダム,36,徳島県,,Unknown,33.8,134.4666667,徳島県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
